#Exp Nr.    wDir_m     SDAzim_m     Q_m    wDir_p     SDAzim_p     Q_p       fval0     fval1     firstOrderOptim	file nr.
17          184        5.60         56.5   184.00     NaN          56.48     6784.47   4.52324   0.0247					1
18          187        5.30         57.6   187.00     NaN          57.59     10344.3   4.52344   0.0187					3
21          181        6.60         50.9   181.01     NaN          50.79     813.457   4.92355   0.0158					1
22          176        5.80         48.4   175.98     5.80         48.25     424.272   5.19057   0.0156					2
23          128        7.30         40.9   128.02     7.293        40.63     308.687   2.90532   0.0228 				4
24          141        7.10         41.2   141.00     7.093        41.09     386.1     2.78497   0.0031					4
28          174        6.40         41.7   174.00     NaN          41.69     6417.94   5.56218   0.3521					1
29          220        8.00         41.5   219.94     7.567        39.15     1906.02   36.7503   0.0277					4
32          171        3.60         41.4   171.00     3.60         41.40     7942.4    9.0506    0.4703					2
37          187        7.00         40.3   187.00     6.992        40.23     832.221   2.32712   0.0036					4
38          170        5.00         45.4   170.00     5.00         45.40     859.472   6.50776   0.0094					2
39          140        5.80         40.7   140.00     NaN          40.69     8758.63   5.2052    0.0204					1
40          180        9.00         40.5   180.01     8.987        40.32     7769.03   15.3684   0.0257					4
41          198        5.00         39.9   198.00     5.00         39.90     1454.44   6.86526   0.0273					2
42          212        6.60         56.4   212.01     NaN          56.31     1143.36   5.36856   0.0059					1
46          134        7.70         99.7   134.08     7.565        98.96     828.617   10.6485   0.0036					4
53          132        3.90         45.2   132.00     3.90         45.19     4279.49   7.71999   0.0705					2
54          140        5.90         43.4   140.00     5.90         43.39     1446.13   4.01578   0.0702					2
55          156        6.735        45.3   156.01     6.736        45.15     454.222   6.3007    0.0235					2
56          153        6.10         45.9   153.00     6.10         45.85     746.895   6.0215    0.0296					2
58          178        4.10         40.5   178.00     4.10         40.52     12093     6.96267   0.1380					2
59          174        5.20         40.2   174.00     5.20         40.23     6718.28   4.7171    0.0775					1
60          198        6.624        38.5   198.00     6.625        38.43     701.428   6.87053   0.0188					1
70          135        5.00         41.8   135.00     5.00         41.76     1032.95   8.0012    0.00017068				1
