#Exp Nr.    wDir_m     SDAzim_m     Q_m    wDir_p     SDAzim_p     Q_p       fval0     fval1     firstOrderOptim	file nr.
17          184        5.60         56.5   177.13     6.833        50.31     13129.8   10278.4   146.2947				2
18          187        5.30         57.6   182.46     7.275        62.64     2407.13   364.993   0.9818					1
21          181        6.60         50.9   175.35     7.199        60.01     898.377   318.343   0.3564					1
22          176        5.80         48.4   171.93     6.788        56.12     273.727   75.4682   24.0780				2
23          128        7.30         40.9   126.10     7.320        35.02     36.2085   9.46039   0.0095 				4			
24          141        7.10         41.2   142.02     7.319        39.43     73.5116   57.0926   15.5062				4
28          174        6.40         41.7   172.51     7.500        39.94     374.486   94.0529   0.0055					1
29          220        8.00         41.5   211.18     11.906       28.08     46056.4   45696.5   5.9687					4
32          171        3.60         41.4   172.58     6.610        51.54     6481.22   2245.9    75.7680				2
37          187        7.00         40.3   184.68     7.484        36.69     193.793   59.1262   0.5802					4		
38          170        5.00         45.4   168.55     7.157        47.77     137.158   20.0002   1.4149					1
39          140        5.80         40.7   140.11     6.929        20.45     1925.9    1205.95   0.0134					1
40          180        9.00         40.5   180.71     10.253       23.78     944.9     356.872   0.9349					4		
41          198        5.00         39.9   195.80     6.772        37.09     396.975   13.8613   0.3577					1
42          212        6.60         56.4   209.00     7.456        52.20     208.934   19.202    1.9748e-04				1
46          134        7.70         99.7   132.40     7.132        139.58    482.07    235.665   0.1368					4
53          132        3.90         45.2   128.39     8.101        65.76     5478.11   478.081   359.7813				3
54          140        5.90         43.4   136.98     6.642        39.39     492.624   15.9312   5.4919					1
55          156        5.80         45.3   155.37     7.264        49.58     105.458   99.5801   1.0878					1
56          153        6.10         45.9   151.77     7.029        45.14     60.7155   19.4929   0.4912					1
58          178        4.10         40.5   179.54     5.430        44.38     7917.76   4344.82   504.4089				2
59          174        5.20         40.2   174.18     NaN          44.27     525.712   423.148   0.0639 				5
60          198        5.90         38.5   196.89     6.671        32.76     92.5463   23.9188   0.1260					1
70          135        5.00         41.8   138.39     7.377        42.88     425.899   16.1717   0.4848					1
